Bootstraps,Score,Score_Choose_N,EvaluationMetric,EvaluationMetric_Cutoff,PoseSelection,PoseSelection_Choose_N,Reference_Split,N_Reference_Structures,Reference_Structure_Column,Min,Max,CI_Upper,CI_Lower,Total,Fraction,Evaluator_Model,Randomize_by_N_Days,Date_Column,Scaffold_ID
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,RandomSplit,1,Reference_Structure,0.016129032258064516,0.967741935483871,0.967741935483871,0.5967741935483871,62,0.8503064516129032,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""RandomSplit"",""name"":""RandomSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",,,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,RandomSplit,2,Reference_Structure,0.6612903225806451,1.0,1.0,0.8225806451612904,62,0.9577903225806453,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""RandomSplit"",""name"":""RandomSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":2},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",,,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,RandomSplit,5,Reference_Structure,0.9516129032258065,1.0,1.0,0.967741935483871,62,0.9945322580645162,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""RandomSplit"",""name"":""RandomSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":5},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",,,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,RandomSplit,10,Reference_Structure,0.9838709677419355,1.0,1.0,0.9838709677419355,62,0.9991935483870968,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""RandomSplit"",""name"":""RandomSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":10},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",,,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,RandomSplit,20,Reference_Structure,0.9838709677419355,1.0,1.0,1.0,62,0.9999516129032259,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""RandomSplit"",""name"":""RandomSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":20},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",,,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,RandomSplit,50,Reference_Structure,1.0,1.0,1.0,1.0,62,1.0,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""RandomSplit"",""name"":""RandomSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":50},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",,,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,RandomSplit,62,Reference_Structure,1.0,1.0,0.9995982107709152,0.9431276476679837,62,1.0,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""RandomSplit"",""name"":""RandomSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":62},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",,,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,1,Reference_Structure,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,62,0.9516129032258063,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":1,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,2,Reference_Structure,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,62,0.9838709677419358,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":2,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date,0
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,5,Reference_Structure,1.0,1.0,1.0,1.0,62,1.0,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":5,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date,0
